time,heating_kw,ecs_kw,total_kw
2023-01-05 17:00:00,3465.3246338979898,1881.85502283105,5347.17965672904
2023-01-05 18:00:00,3562.420006067688,1881.85502283105,5444.275028898738
2023-01-05 19:00:00,3671.7805020396313,1881.85502283105,5553.635524870681
2023-01-05 20:00:00,3802.802499830192,0.0,3802.802499830192
2023-01-05 21:00:00,3945.1215521016356,0.0,3945.1215521016356
2023-01-05 22:00:00,4067.4188404368506,0.0,4067.4188404368506
2023-01-05 23:00:00,4197.967769463994,0.0,4197.967769463994
2023-01-06 00:00:00,4311.707708146444,0.0,4311.707708146444
2023-01-06 01:00:00,4383.521658013556,0.0,4383.521658013556
2023-01-06 02:00:00,4434.74694111327,0.0,4434.74694111327
2023-01-06 03:00:00,4434.97541647773,0.0,4434.97541647773
2023-01-06 04:00:00,4471.491665195412,0.0,4471.491665195412
2023-01-06 05:00:00,4494.747648300978,0.0,4494.747648300978
2023-01-06 06:00:00,4542.6724873423145,0.0,4542.6724873423145
2023-01-06 07:00:00,4527.865691549773,0.0,4527.865691549773
2023-01-06 08:00:00,4546.391490080224,1881.85502283105,6428.246512911273
2023-01-06 09:00:00,4561.145104843384,1881.85502283105,6443.000127674433
2023-01-06 10:00:00,4537.991326128545,1881.85502283105,6419.846348959594
2023-01-06 11:00:00,4427.33034763391,1881.85502283105,6309.18537046496
2023-01-06 12:00:00,4214.116390305601,1881.85502283105,6095.971413136651
2023-01-06 13:00:00,3938.8536139176167,1881.85502283105,5820.708636748666
2023-01-06 14:00:00,3661.536913225313,1881.85502283105,5543.391936056363
2023-01-06 15:00:00,3474.949613006065,1881.85502283105,5356.804635837116
2023-01-06 16:00:00,3479.9319056022073,1881.85502283105,5361.786928433257
2023-01-06 17:00:00,3521.63519625141,1881.85502283105,5403.49021908246
2023-01-06 18:00:00,3592.5274394290213,1881.85502283105,5474.382462260071
2023-01-06 19:00:00,3634.235964263065,1881.85502283105,5516.090987094115
2023-01-06 20:00:00,3712.4453903476942,0.0,3712.4453903476942
2023-01-06 21:00:00,3784.1124372676354,0.0,3784.1124372676354
2023-01-06 22:00:00,3833.670301922067,0.0,3833.670301922067
2023-01-06 23:00:00,3889.7762493283703,0.0,3889.7762493283703
2023-01-07 00:00:00,3916.0285955435734,0.0,3916.0285955435734
2023-01-07 01:00:00,3948.5305573195265,0.0,3948.5305573195265
2023-01-07 02:00:00,3944.968598435802,0.0,3944.968598435802
2023-01-07 03:00:00,3971.9074466481984,0.0,3971.9074466481984
2023-01-07 04:00:00,4039.623389684652,0.0,4039.623389684652
2023-01-07 05:00:00,4080.4764269418947,0.0,4080.4764269418947
2023-01-07 06:00:00,4164.979616979826,0.0,4164.979616979826
2023-01-07 07:00:00,4265.619745381022,0.0,4265.619745381022
2023-01-07 08:00:00,4285.665823132828,1881.85502283105,6167.520845963878
2023-01-07 09:00:00,4226.426676148138,1881.85502283105,6108.281698979188
2023-01-07 10:00:00,4047.6416044959915,1881.85502283105,5929.496627327042
2023-01-07 11:00:00,3601.4430822641493,1881.85502283105,5483.298105095199
2023-01-07 12:00:00,3210.6846872153133,1881.85502283105,5092.539710046363
2023-01-07 13:00:00,2913.0697425153294,1881.85502283105,4794.924765346379
2023-01-07 14:00:00,2656.9263102407567,1881.85502283105,4538.781333071807
2023-01-07 15:00:00,2484.856274051789,1881.85502283105,4366.711296882839
2023-01-07 16:00:00,2412.449336350288,1881.85502283105,4294.304359181338
2023-01-07 17:00:00,2376.34728450629,1881.85502283105,4258.20230733734
2023-01-07 18:00:00,2392.2428461727836,1881.85502283105,4274.097869003834
2023-01-07 19:00:00,2559.5727352565946,1881.85502283105,4441.427758087644
2023-01-07 20:00:00,2681.0094387095364,0.0,2681.0094387095364
2023-01-07 21:00:00,2814.9840034868525,0.0,2814.9840034868525
2023-01-07 22:00:00,2947.5825109899174,0.0,2947.5825109899174
2023-01-07 23:00:00,3097.110771349349,0.0,3097.110771349349
2023-01-08 00:00:00,3230.884629839327,0.0,3230.884629839327
2023-01-08 01:00:00,3335.386640686358,0.0,3335.386640686358
2023-01-08 02:00:00,3429.179043698861,0.0,3429.179043698861
2023-01-08 03:00:00,3374.83807434414,0.0,3374.83807434414
2023-01-08 04:00:00,3218.066294139776,0.0,3218.066294139776
2023-01-08 05:00:00,3092.412912623772,0.0,3092.412912623772
2023-01-08 06:00:00,3088.768388049178,0.0,3088.768388049178
