id_unique,affect,etat,elec_annual_kwh,pv_annual_kwh,autoconsumption,autonomy
C3-146,Habitat collectif,Existant,86699.993,39567.0,0.974690355374885,0.44481633684927835
C2-147,Habitat collectif,Existant,3366.0029999999997,7623.000000000002,0.3900528662892029,0.8833542334105449
C2-148,Ecole,Existant,15295.96,55539.000000000015,0.22096989398885997,0.8023325729308457
A4-152,Administration,Existant,303429.946,185493.00000000003,0.8558500565735161,0.5231988359645664
A4-153,Administration,Existant,501599.911,306735.0,0.8565161498968529,0.523770988545114
D2-154,Commerce,Existant,947672.0,909678.0000000001,0.7012455639794946,0.6731312755359858
B4-155,Industries,Existant,1348085.9980000001,943255.5,0.8122979779746976,0.5683647308111216
C1-156,Installation sportive,Existant,9048.007000000001,18150.0,0.413545973807769,0.8295594184013126
C1-158,Installation sportive,Existant,4697.998,9438.0,0.4101439101017681,0.8239548470519756
C1-160,Installation sportive,Existant,6090.003,12160.5,0.41347934248024304,0.8256343296105102
F3-162,Ecole,Existant,366463.955,332508.00000000006,0.5230672410921694,0.4746006798979045
A2-168,Ecole,Existant,1125887.967,1362339.0,0.4693923485714306,0.5679708119311078
C2-179,Habitat collectif,Existant,80783.946,30673.500000000004,0.9906379979029555,0.37614323307104
C2-181,Non chauffé,Existant,696.0260000000001,2722.5,0.24471151694167012,0.9571870948408492
C2-183,Non chauffé,Existant,4785.004,19239.000000000004,0.2386555551049767,0.9595591194207252
C2-184,Non chauffé,Existant,5625.947,22506.0,0.2397598415256147,0.9591336344575383
C2-185,Habitat collectif,Existant,106947.033,27043.5,0.9998926029776785,0.25284100783447494
C2-186,Habitat collectif,Existant,95472.00200000001,27225.0,0.9992976142746163,0.28496184199244534
C2-187,Habitat collectif,Existant,94655.965,26862.000000000004,0.9994297875865595,0.2836237838170068
C2-188,Habitat collectif,Existant,67319.961,19239.000000000004,0.9987594643449341,0.2854299534506889
C2-189,Habitat collectif,Existant,85067.962,32307.000000000007,0.9906295059256552,0.37621998570907517
D1-171,Administration,Existant,74100.04200000002,75504.0,0.6728847757115027,0.6856337828434874
D1-2,Ecole,Nouveau,27500.019,72600.0,0.28915640999316083,0.7633723949610172
C2-201,Habitat collectif,Existant,223176.00699999998,63525.0,0.9997489242793577,0.2845693462686883
E1-202,Administration,Existant,90060.00899999999,54994.50000000001,0.8531506356577797,0.5209703302681413
E2-205,Ecole,Existant,13664.005000000001,7078.5,0.6640241431226163,0.34399101120743436
C2-207,Habitat collectif,Existant,113168.997,36844.500000000015,0.9976373772461326,0.3248014148781856
C2-217,Habitat collectif,Existant,10404.021,11797.5,0.6675304572406829,0.756937204307542
C2-218,Non chauffé,Existant,1246.973,5082.0,0.23572313584523802,0.9606823695184254
C2-219,Habitat collectif,Existant,254184.03100000002,82764.00000000001,0.9984003386133302,0.3250857471254505
C2-221,Habitat collectif,Existant,224399.98200000002,63888.00000000001,0.9997110849648885,0.28462364937371876
C2-223,Habitat collectif,Existant,254999.979,72600.0,0.9998777261934914,0.28467109372447236
F1-224,Administration,Existant,236436.082,120516.00000000001,0.9079859134679581,0.4628178128391776
C1-225,Installation sportive,Existant,1392.056,5626.5,0.22919393805575458,0.9263705572697528
C1-226,Installation sportive,Existant,1392.056,5626.5,0.22919393805575458,0.9263705572697528
D2-227,Habitat collectif,Nouveau,37799.905,52272.00000000001,0.5967821423989449,0.8252665224284995
D2-228,Habitat collectif,Nouveau,72576.038,37570.50000000001,0.9563429006467133,0.4950708517423802
B2-229,Habitat collectif,Nouveau,26325.073,26136.000000000004,0.7219510451817057,0.7167658192958881
D2-230,Habitat collectif,Nouveau,74196.03,37570.50000000001,0.9599984125875755,0.48611253675057153
D2-231,Administration,Nouveau,78847.95300000001,52090.50000000001,0.8293961693596579,0.5479363701430431
D2-232,Habitat collectif,Nouveau,100352.03099999999,52090.50000000001,0.9568752689975859,0.49669260007023436
A4-233,Administration,Nouveau,69695.996,66973.50000000001,0.6996052993031863,0.6722770058825467
A4-234,Habitat collectif,Nouveau,55999.989,46464.0,0.8068186997206593,0.6694291326346639
D2-235,Administration,Nouveau,101376.075,66973.50000000001,0.828724318076694,0.5474917836058407
D1-1,Ecole,Nouveau,27500.001,72600.0,0.2891871514144384,0.7634540519721519
A2-237,Ecole,Nouveau,17599.989999999998,46464.0,0.282517644930328,0.7458470063927741
A2-238,Ecole,Nouveau,12375.048,26136.000000000004,0.387337004046403,0.8180525794935736
B2-239,Habitat collectif,Nouveau,44800.02100000001,46464.0,0.7141092048003497,0.7406329138069699
B2-240,Habitat collectif,Nouveau,44800.025,46464.0,0.7155412497016017,0.7421180819906957
B3-241,Habitat collectif,Nouveau,69383.999,41200.5,0.9252945317281581,0.5494436455653987
B4-242,Administration,Nouveau,281461.00899999996,219433.50000000003,0.7693352876363911,0.5997915499534079
B3-243,Habitat collectif,Nouveau,55743.926,48279.0,0.782350093803281,0.6775819876541994
G2-248,Habitat collectif,Nouveau,88776.00600000001,37570.50000000001,0.9829943842208534,0.41600869622778
G2-249,Habitat collectif,Nouveau,90719.987,37570.50000000001,0.9865580900690833,0.4085701723363398
G2-250,Habitat collectif,Nouveau,164160.01499999998,66973.50000000001,0.9898506958178308,0.4038362543787262
D1-209,Installation sportive,Existant,14761.063,59169.0,0.2324866725501984,0.93191147061175
B2-253,Administration,Nouveau,61600.013000000006,64977.0,0.6571373253659245,0.6931623860258224
E4-254,Administration,Nouveau,114124.99799999999,48279.0,0.9483163657433621,0.4011721062349879
A3-255,Administration,Nouveau,17247.984,22687.500000000004,0.5750641723184781,0.7564228033534512
D1-0,Ecole,Nouveau,27368.016000000003,72237.0,0.28416496113028117,0.7500442961290331
C1-227,Installation sportive,Existant,54346.024000000005,217618.5,0.23413057130219148,0.9375321317144738
A3-300,Administration,Nouveau,39071.977,51546.0,0.5753847142927233,0.7590806189032288
