edge,mass_flow_kg_h
"((2593560.1, 1119220.5), 'connection_C1-160')",4625.0
"((2593560.1, 1119220.5), 'connection_D1-171')",4625.0
"((2593560.1, 1119220.5), 'connection_A4-233')",4625.0
"((2593389.4, 1119387.8), 'connection_A3-78')",4625.0
"((2593389.4, 1119387.8), 'connection_A3-94')",4625.0
"((2593389.4, 1119387.8), 'connection_A4-153')",4625.0
"((2593330.2, 1119372.2), (2593278.1, 1119358.6))",4625.0
"((2593330.2, 1119372.2), 'connection_A3-78')",4625.0
"((2593278.1, 1119358.6), (2593199.5, 1119337.9))",9980.0
"((2593278.1, 1119358.6), 'connection_A3-120')",4625.0
"((2593199.5, 1119337.9), (2593032.3, 1119294.1))",4625.0
"((2593199.5, 1119337.9), 'connection_A3-55')",4625.0
"((2593301.4, 1119269.3), 'connection_A3-75')",4625.0
"((2593301.4, 1119269.3), 'connection_A3-76')",4625.0
"((2593301.4, 1119269.3), 'connection_A3-77')",4625.0
"((2593032.3, 1119294.1), 'connection_A1-35')",4625.0
"((2593057.9, 1119200.8), (2593067.1, 1119167.3))",4625.0
"((2593057.9, 1119200.8), (2593122.7, 1119218.2))",4625.0
"((2593057.9, 1119200.8), 'connection_A1-35')",4625.0
"((2593067.1, 1119167.3), (2593066.9, 1119167.2))",4625.0
"((2593066.9, 1119167.2), 'connection_A2-45')",4625.0
"((2593066.9, 1119167.2), 'connection_A1-71')",4625.0
"((2593005.1, 1119144.5), 'connection_A1-71')",4625.0
"((2593717.7, 1119436.4), 'connection_C2-142')",4625.0
"((2593717.7, 1119436.4), 'connection_C2-143')",4625.0
"((2593587.1, 1119432.7), (2593517.4, 1119420.6))",4625.0
"((2593587.1, 1119432.7), 'connection_C2-189')",4625.0
"((2593517.4, 1119420.6), 'connection_C1-227')",9980.0
"((2593778.8, 1119176.3), 'connection_D1-2')",9980.0
"((2593778.8, 1119176.3), 'connection_D2-235')",4625.0
"((2593778.8, 1119176.3), 'connection_D1-209')",16100.0
"((2593328.2, 1119166.9), (2593287.9, 1119156.9))",9980.0
"((2593328.2, 1119166.9), 'connection_A3-75')",4625.0
"((2593328.2, 1119166.9), 'connection_B3-243')",4625.0
"((2593287.9, 1119156.9), (2593287.9, 1119156.9))",9980.0
"((2593287.9, 1119156.9), 'connection_B3-88')",4625.0
"((2593287.9, 1119156.9), 'connection_A3-300')",4625.0
"((2593242.3, 1119250.2), (2593183.3, 1119234.4))",16100.0
"((2593242.3, 1119250.2), 'connection_A3-55')",9980.0
"((2593242.3, 1119250.2), 'connection_A2-238')",4625.0
"((2593255.0, 1119224.1), 'connection_A3-255')",9980.0
"((2593255.0, 1119224.1), 'connection_A3-300')",9980.0
"((2593317.2, 1119096.7), 'connection_B3-88')",4625.0
"((2593317.2, 1119096.7), 'connection_B2-229')",16100.0
"((2593317.2, 1119096.7), 'connection_B2-253')",4625.0
"((2593437.9, 1119194.3), (2593417.2, 1119268.7))",4625.0
"((2593437.9, 1119194.3), 'connection_B3-84')",4625.0
"((2593437.9, 1119194.3), 'connection_A4-152')",4625.0
"((2593437.9, 1119194.3), 'connection_B3-243')",4625.0
"((2593417.2, 1119268.7), (2593367.1, 1119285.0))",4625.0
"((2593417.2, 1119268.7), 'connection_A4-72')",4625.0
"((2593417.2, 1119268.7), 'connection_A4-81')",4625.0
"((2593367.1, 1119285.0), 'connection_A3-77')",4625.0
"((2593183.3, 1119234.4), 'connection_A2-168')",23750.0
"((2593183.3, 1119234.4), 'connection_A2-237')",35225.0
"((2593122.7, 1119218.2), 'connection_A2-46')",4625.0
"((2593122.7, 1119218.2), 'connection_A2-168')",4625.0
"((2593282.5, 1119087.6), 'connection_B2-38')",4625.0
"((2593282.5, 1119087.6), 'connection_B2-229')",9980.0
"((2593282.5, 1119087.6), 'connection_B2-239')",9980.0
"((2593220.6, 1119071.4), (2593224.0, 1119056.3))",46700.0
"((2593220.6, 1119071.4), (2593208.3, 1119147.0))",35225.0
"((2593220.6, 1119071.4), 'connection_B2-240')",9980.0
"((2593224.0, 1119056.3), (2593160.9, 1119043.4))",62000.0
"((2593224.0, 1119056.3), 'connection_B1-70')",9980.0
"((2593160.9, 1119043.4), (2593099.0, 1119030.7))",62000.0
"((2593160.9, 1119043.4), 'connection_B1-69')",4625.0
"((2593099.0, 1119030.7), 'connection_B1-68')",4625.0
"((2593099.0, 1119030.7), 'connection_nappe')",62000.0
"((2593146.0, 1119129.4), (2593208.3, 1119147.0))",4625.0
"((2593146.0, 1119129.4), (2593087.8, 1119112.9))",4625.0
"((2593146.0, 1119129.4), 'connection_A2-47')",9980.0
